district_key,pct_draws_in_top20,prob_exceeds_national_median,posterior_mean_u5mr,posterior_rank_by_mean
RAWALPINDI DISTRICT,0.2833333333333333,0.43266666666666664,39.93625904091199,80.0
KACHHI DISTRICT,5.966666666666667,0.3595,39.52530504652805,81.0
HYDERABAD DISTRICT,3.0,0.3895,39.36251441296485,82.0
KARACHI WEST DISTRICT,0.2833333333333333,0.38383333333333336,38.62033664659275,83.0
NAUSHAHRO FEROZE DISTRICT,0.65,0.37083333333333335,38.02673311796867,84.0
KOHISTAN DISTRICT,6.1,0.31083333333333335,37.656019058860316,85.0
JHANG DISTRICT,0.18333333333333332,0.3605,37.35546786396708,86.0
CHITRAL DISTRICT,3.3833333333333333,0.3065,35.72813036800918,87.0
THATTA DISTRICT,1.8166666666666667,0.31333333333333335,35.5299857742621,88.0
NOWSHERA DISTRICT,0.1,0.29833333333333334,35.132876389794355,89.0
THARPARKAR DISTRICT,1.0833333333333333,0.30733333333333335,34.95351250888212,90.0
TANDO ALLAHYAR DISTRICT,3.1666666666666665,0.3,34.919541237651615,91.0
KOHLU DISTRICT,3.433333333333333,0.2931666666666667,34.45851611065687,92.0
SWABI DISTRICT,0.38333333333333336,0.2856666666666667,34.242758586401806,93.0
SUJAWAL DISTRICT,2.8,0.2846666666666667,33.8089014954881,94.0
ABBOTTABAD DISTRICT,1.6666666666666667,0.275,33.37251666571498,95.0
LODHRAN DISTRICT,1.1666666666666667,0.2678333333333333,32.99554907859773,96.0
JAMSHORO DISTRICT,1.0333333333333334,0.25266666666666665,32.01522452997467,97.0
ATTOCK DISTRICT,2.066666666666667,0.25333333333333335,31.87193196924155,98.0
FR D.I.KHAN DISTRICT,5.516666666666667,0.24083333333333334,31.111196358188693,99.0
KOHAT DISTRICT,0.13333333333333333,0.20616666666666666,31.034223695538156,100.0
CHARSADDA DISTRICT,0.36666666666666664,0.21666666666666667,30.99931006532192,101.0
KARACHI EAST DISTRICT,1.4833333333333334,0.22166666666666668,30.267931634736282,102.0
MALIR DISTRICT,0.18333333333333332,0.1955,30.165923136408615,103.0
UMER KOT DISTRICT,1.1333333333333333,0.21733333333333332,30.063382130759944,104.0
GUJRAT DISTRICT,0.0,0.12866666666666668,29.726903899002366,105.0
ORAKZAI AGENCY DISTRICT,4.783333333333333,0.22666666666666666,29.680091715240124,106.0
OKARA DISTRICT,0.11666666666666667,0.17216666666666666,29.57773008876167,107.0
DADU DISTRICT,0.25,0.19633333333333333,29.42765489231586,108.0
