district_key,area_sqkm,population_2017,male,female,sex_ratio,pop_density_per_sqkm,urban_pct,avg_household_size,pop_growth_rate_pct,population_under5,literacy_rate_pct,mean_persons_per_room,improved_water_pct,improved_sanitation_pct
SANGHAR DISTRICT,10728,2049873,1059051,990578,106.91,191.08,27.89,5.47,2.34,306387.0,41.40329128215894,4.179056395571681,71.77842204247477,21.101854296784484
NAUSHAHRO FEROZE DISTRICT,2946,1612047,831392,780446,106.53,547.2,23.52,5.79,2.09,241029.0,53.83025959049146,4.126312379858881,95.07795503988397,29.70195794053662
SHAHEED BENAZIRABAD DISTRICT,4502,1613506,833235,780089,106.81,358.4,30.36,5.38,2.02,243816.0,46.86361018794149,4.134516958001457,87.48125302575318,27.538670395184525
AWARAN DISTRICT,29510,121821,63063,58749,107.34,4.13,28.1,6.61,0.16,19857.0,25.4673304293715,2.6568708259473754,14.354357671490114,8.317684745388268
KALAT DISTRICT,8416,412058,211806,200251,105.77,48.96,17.57,7.38,2.93,84152.0,41.586199633848,2.614080928167779,32.68857027611749,13.736203292875215
KHARAN DISTRICT,14958,162766,84631,78135,108.31,10.88,31.57,6.56,2.76,30095.0,40.93276263538778,3.5771166838641135,39.74521771187482,7.311678204235449
KHUZDAR DISTRICT,35380,798896,419351,379468,110.51,22.58,34.52,6.59,3.47,157774.0,35.90246385664834,2.8076215483973206,31.803234455893016,21.539992242702237
LASBELA DISTRICT,15153,576271,301204,275056,109.51,38.03,48.92,6.21,3.26,89608.0,34.487727592797505,4.159993200440455,21.87311310915698,22.212341775626037
MASTUNG DISTRICT,3308,265676,137504,128169,107.28,80.31,13.17,6.84,3.05,46832.0,39.65643972936526,2.270944826719335,45.37020097744558,14.575438413088362
WASHUK DISTRICT,33093,175712,91841,83870,109.5,5.31,12.43,5.6,2.49,36904.0,23.85557216660674,3.4149427928796348,21.049392712550606,9.097975708502025
GWADAR DISTRICT,12637,262253,141116,121120,116.51,20.75,61.31,6.36,1.84,34698.0,51.97108062960758,3.6735865183446443,60.613869469816805,12.035005357962953
KECH DISTRICT,22539,907182,492878,414202,118.99,40.25,33.29,6.58,4.22,115787.0,62.660903111424105,3.1025216213843523,45.39080057204565,29.969646557511016
PANJGUR DISTRICT,16891,315353,166379,148952,111.7,18.67,25.5,7.38,1.58,62335.0,59.22071598402478,2.3624056764999737,22.40653099858022,10.86606720302887
JAFFARABAD DISTRICT,1643,513972,262872,251047,104.71,312.83,30.68,6.46,3.03,93998.0,30.659670397527517,4.552452575075712,40.45251439935945,15.683033292868766
JHAL MAGSI DISTRICT,3615,148900,76726,72173,106.31,41.19,5.25,5.95,1.61,28548.0,23.4576945786953,4.06042125548903,21.020030568739443,4.9674201592792215
KACHHI DISTRICT,5682,309932,164291,145633,112.81,54.55,16.45,7.47,1.02,52850.0,32.97850041921188,3.323147303962665,22.826193270735523,12.5929186228482
NASIRABAD DISTRICT,3387,487847,251564,236282,106.47,144.04,19.74,7.31,3.66,95524.0,23.303749002205297,4.575786103322961,44.80731548007838,6.503685732947654
SOHBATPUR DISTRICT,802,200426,102967,97449,105.66,249.91,6.42,6.54,1.84,40050.0,33.15026596837977,4.996996940725771,48.72484558677027,10.898585375572823
CHAGAI DISTRICT,44748,226517,118973,107537,110.63,5.06,7.18,6.87,4.15,,36.911276238742595,3.017791275871346,20.94189301424221,
KILLA ABDULLAH DISTRICT,4894,758354,399299,359051,111.21,154.96,19.69,7.55,3.98,146256.0,42.87245240500592,2.5798808119829904,68.71017131507077,15.811470661259621
NUSHKI DISTRICT,5797,178947,92571,86373,107.18,30.87,25.93,7.88,3.21,29647.0,51.66640380512829,2.710225152614218,68.30251197779072,19.30327318318184
PISHIN DISTRICT,6218,736903,380615,356227,106.85,118.51,19.38,5.81,3.59,137385.0,52.97240517232324,2.624613884708176,66.75958689105968,18.060336909031367
QUETTA DISTRICT,3447,2269473,1190476,1078718,110.36,658.39,44.04,7.97,5.81,363210.0,58.76283812593311,2.5503370488620813,64.73198490388017,55.579225144474584
DERA BUGTI DISTRICT,10160,313110,165056,148053,111.48,30.82,32.05,6.65,2.91,74868.0,26.546335526391328,3.836411812829615,28.610246745847395,10.279616075733006
HARNAI DISTRICT,2492,97052,51964,45069,115.3,38.95,25.31,5.6,1.25,16221.0,36.242559870701044,2.972234224590939,25.703189360950923,17.818053430622573
KOHLU DISTRICT,7610,213933,112124,101809,110.13,28.11,8.15,7.98,4.08,38818.0,18.771934977018752,2.8753913075642914,15.973345659040136,6.601956705954857
SIBI DISTRICT,7121,179751,94723,85009,111.43,25.24,35.98,6.41,1.46,27830.0,45.96567913226485,3.395861302536984,51.50310924678956,28.373256798027743
ZIARAT DISTRICT,3301,160095,82161,77912,105.45,48.5,2.12,5.52,3.66,27234.0,45.36089338710905,2.8267321600477344,15.867803242034656,21.544857462269423
BARKHAN DISTRICT,3514,171025,89911,81100,110.86,48.67,7.13,6.55,2.67,33216.0,26.986742495574553,3.013424038506472,26.885181550539745,12.765456329735034
KILLA SAIFULLAH DISTRICT,6831,342932,181806,161121,112.84,50.2,18.46,6.43,3.05,69522.0,32.770682953914495,2.7650449861186552,38.7851711026616,8.216730038022813
LORALAI DISTRICT,8018,397423,212502,184905,114.92,49.57,16.33,7.0,2.46,71625.0,37.16097815104825,2.741909355519007,45.70392033465369,21.304557065116796
MUSAKHEL DISTRICT,5728,167243,90733,76498,118.61,29.2,8.45,6.78,1.17,36060.0,25.859683288064367,2.7652985040539,15.568345323741006,6.006166495375129
SHERANI DISTRICT,4310,152952,84390,68561,123.09,35.49,0.0,7.3,3.35,36394.0,28.000283882567246,2.833373412561624,17.363470724380754,5.810804156202295
ZHOB DISTRICT,15987,310354,168239,142114,118.38,19.41,14.87,6.63,2.51,60914.0,33.435057062831824,2.611654873149331,39.20694038671692,16.160039251544415
ISLAMABAD DISTRICT,906,2003368,1052328,950760,110.68,2211.22,50.37,5.86,4.9,235270.0,81.48692280430839,2.1178339315373593,68.13439913290883,74.58670159117253
