district_key,area_sqkm,population_2017,male,female,sex_ratio,pop_density_per_sqkm,urban_pct,avg_household_size,pop_growth_rate_pct,population_under5,literacy_rate_pct,mean_persons_per_room,improved_water_pct,improved_sanitation_pct,province,n_households_hr,mean_wealth_score,pct_lowest_wealth_quintile,n_women_ir,mean_years_education,pct_no_education,n_women_with_recent_birth,mean_anc_visits,pct_zero_anc_visits,low_dhs_hr_coverage,low_dhs_ir_coverage,low_dhs_anc_coverage,improved_water_pct_imputed,improved_sanitation_pct_imputed,wash_index,mean_persons_per_room_imputed,household_pressure_index,remoteness_proxy,population_under5_imputed,under5_share_pct,anc_deficit_index,anc_data_source,education_adequacy,education_data_source,wealth_adequacy,wealth_data_source,deprivation_index,deprivation_data_source,facility_count_in_district,facility_distance_km,low_osm_facility_coverage
MALAKAND PROTECTED AREA DISTRICT,952,717806,360440,357333,100.87,754.0,9.43,7.85,2.46,109216.0,61.83063311224141,2.683820853139224,57.6879201692306,42.08503616085767,Khyber Pakhtunkhwa,50.0,-0.2583492538426226,14.93948674198634,67.0,3.6473854950987006,54.89942951695554,38.0,4.050553897620733,3.204870122057672,False,False,False,False,False,0.4747639243426798,False,0.3788271477531612,0.44754627891574,False,15.215253146393316,0.5036090493963323,dhs,0.3549318866449427,dhs,0.4373730602081877,dhs,0.5564332089062519,education=dhs;wealth=dhs,5,9.66,False
KHYBER AGENCY DISTRICT,2576,984246,504502,479669,105.18,382.08,9.9,8.49,3.14,181263.0,41.970512550569545,3.20747037351992,35.770487400975696,16.673678557042475,Fata,182.0,-0.6944339667070052,29.628807234590475,206.0,0.4709353368508045,90.52202841802686,119.0,2.459522367826396,17.29672940762741,False,False,False,False,False,0.2121966522753522,False,0.5277299018666004,0.5226373369725827,False,18.41643247724654,0.7062862080251182,dhs,0.0458273379166641,dhs,0.29568894166144,dhs,0.781973904055655,education=dhs;wealth=dhs,2,29.05,False
KURRAM AGENCY DISTRICT,3380,615372,306935,308393,99.53,182.06,6.18,8.81,1.68,106814.0,40.4280841823043,2.4975582350927086,40.57482744741432,37.15508117052519,Fata,164.0,-1.0316987819890229,67.14730548821406,171.0,1.443648875019394,82.53588902666507,94.0,3.73475508142702,2.1321338933976857,False,False,False,False,False,0.3502073416913583,False,0.4381164207298385,0.60436410695793,False,17.357630831432044,0.5438377975800655,dhs,0.1404833735156412,dhs,0.186111452103981,dhs,0.7406733784095354,education=dhs;wealth=dhs,3,1.13,False
MOHMAND AGENCY DISTRICT,2296,474345,241549,232755,103.78,206.6,0.0,9.37,1.85,78675.0,30.387577366877284,3.034324649523398,27.016847561963388,16.163129758626276,Fata,82.0,-0.9644154895536636,62.28333253545326,87.0,0.4728153971549708,91.47911910940232,60.0,0.7752662261608789,55.376460921299454,False,False,False,False,False,0.1593355905278362,False,0.581672351369945,0.5904411045913912,False,16.586029155994055,0.9208389951970822,dhs,0.046010289061165,dhs,0.2079718239546943,dhs,0.8268885862421084,education=dhs;wealth=dhs,0,27.95,True
NORTH WAZIRISTAN AGENCY DISTRICT,4707,540546,277749,262764,105.7,114.84,0.81,8.46,2.14,99291.0,36.60836270031605,2.813577480697895,29.358016304347824,15.95618206521739,Fata,137.0,-0.410497240030218,22.200472468724563,182.0,1.10044223685638,90.1217944859872,118.0,1.974073795850937,16.518091858605622,False,False,False,False,False,0.1716199544006549,False,0.4583907841144043,0.6550100805920178,False,18.36864947664029,0.7681261749810879,dhs,0.1070854835048485,dhs,0.3879401113436028,dhs,0.7305726741072518,education=dhs;wealth=dhs,0,59.48,True
ORAKZAI AGENCY DISTRICT,1538,254303,127564,126728,100.66,165.35,0.0,8.0,0.63,46793.0,37.42829739178862,2.3352194281396894,21.701895628187447,19.453443243416626,Fata,28.0,-1.077227142857143,67.85714285714286,25.0,0.0,100.0,14.0,2.142857142857143,4.0,True,True,True,False,False,0.1466658736764827,False,0.3341481248049692,0.6149580493885587,False,18.400490753156667,0.7466253256550559,dhs,0.0,dhs,0.1713192672642343,dhs,0.8193932638061785,education=dhs;wealth=dhs,0,36.48,True
SOUTH WAZIRISTAN A DISTRICT,6620,675215,355611,319554,111.28,102.0,0.0,7.98,2.4,177050.5,,3.017791275871346,65.74578589746993,27.720685297981937,Fata,52.0,-1.195936294742776,72.07249421878304,63.0,0.441279697160206,94.34256798512556,46.0,1.8032873997270649,27.311744147861805,False,False,False,True,True,0.4433826569224433,True,0.4475009488113847,0.6680124496691167,True,26.22135171760106,0.7898821872603109,dhs,0.0429415085577463,dhs,0.1327506106427431,dhs,0.7735938997491848,education=dhs;wealth=dhs,0,35.5,True
BAJAUR AGENCY DISTRICT,1290,1090987,556036,534895,103.95,845.73,0.0,8.86,3.23,200587.0,29.92772306397924,3.009405738885642,31.105385761439496,24.62156444722481,Fata,83.0,-1.077871556425369,65.43679224648665,98.0,0.379648719535174,93.04005690291724,68.0,3.302185854673652,7.3515748510013745,False,False,False,False,False,0.2283773223915969,False,0.5292609657615531,0.4348556651464905,False,18.385828612073286,0.5989416092562277,dhs,0.0369441169484361,dhs,0.171109897007263,dhs,0.819450270351782,education=dhs;wealth=dhs,1,3.22,False
FR BANNU DISTRICT,745,43112,22286,20826,107.01,57.87,0.0,9.74,4.23,7651.0,18.690726595077308,2.529971692669912,9.734081483288607,11.905342766528422,Fata,53.0,-0.9717380314635344,43.7524583974905,104.0,0.0844775274080666,97.88806181479832,74.0,1.7285519129587346,19.48258424693556,False,False,False,False,False,0.0374345681030172,False,0.5314907034982629,0.7299245434751767,False,17.74679903507144,0.7994025366834945,dhs,0.0082206194607991,dhs,0.2055927268081628,dhs,0.8576816570504074,education=dhs;wealth=dhs,0,11.76,True
FR D.I.KHAN DISTRICT,2008,68506,35356,33146,106.67,34.12,0.0,9.56,3.01,13839.0,20.93922118079041,3.017791275871346,11.438627364716234,8.06569878281273,Fata,,,,,,,,,,,,,False,False,0.0264741273584881,True,0.5968393231025,0.7870956459087254,False,20.201150264210437,0.6029219684883771,imputed_median,0.0352668974249786,census,0.0264741273584881,census_wash_proxy,0.9139454206873884,education=census;wealth=census_wash_proxy,0,59.74,True
FR KOHAT DISTRICT,446,118839,59983,58851,101.92,266.46,0.0,8.09,1.56,17454.0,52.65517323604454,3.0537330420812183,44.36669493921402,45.66016398077467,Fata,,,,,,,,,,,,,False,False,0.4178026106219334,False,0.4639662136932905,0.5624004748899687,False,14.687097669956833,0.6029219684883771,imputed_median,0.5327211652605631,census,0.4178026106219334,census_wash_proxy,0.5242412189018297,education=census;wealth=census_wash_proxy,3,5.16,False
FR LAKKI MARWAT DISTRICT,132,26394,13685,12709,107.68,199.95,0.0,7.84,7.23,4803.0,20.37135907931423,2.104987461086129,12.621065375302663,6.5375302663438255,Fata,,,,,,,,,,,,,False,False,0.0249970133760829,False,0.2801536442575509,0.5940443999327513,False,18.197317572175493,0.6029219684883771,imputed_median,0.026360167290273,census,0.0249970133760829,census_wash_proxy,0.8702984813989956,education=census;wealth=census_wash_proxy,0,41.32,True
FR PESHAWAR DISTRICT,261,64761,31676,33081,95.75,248.13,0.0,8.98,0.97,9357.0,53.46038553267838,2.6239612643662684,46.62143059089624,21.487135990952783,Fata,,,,,,,,,,,,,False,False,0.3002797630141598,False,0.4755259448981454,0.5702579660720323,False,14.448510677722703,0.6029219684883771,imputed_median,0.5453506550761728,census,0.3002797630141598,census_wash_proxy,0.5803162809509814,education=census;wealth=census_wash_proxy,0,15.67,True
