district_key,u5mr_direct,u5mr_lower95,u5mr_upper95,low_direct_coverage,estimate_type
ABBOTTABAD DISTRICT,58.29742383648651,0.0,104.77813431609594,True,dhs_direct
ATTOCK DISTRICT,24.127641023660274,0.0,40.52909009208905,True,dhs_direct
AWARAN DISTRICT,250.01387044116385,,,True,dhs_direct
BADIN DISTRICT,136.49227918317845,48.78311115519729,173.70191014258808,True,dhs_direct
BAHAWALNAGAR DISTRICT,75.13103808287536,37.03703703703698,266.66666666666663,True,dhs_direct
BAHAWALPUR DISTRICT,126.94901440842844,90.42355646816294,159.53319686433886,False,dhs_direct
BAJAUR AGENCY DISTRICT,32.56827294144016,0.0,90.54099224301916,False,dhs_direct
BANNU DISTRICT,65.8466506114843,42.55319148936165,66.66666666666666,True,dhs_direct
BATAGRAM DISTRICT,73.52941176470584,,,True,dhs_direct
BHAKKAR DISTRICT,159.56946295157593,0.0,231.6239316239316,True,dhs_direct
BUNER DISTRICT,62.5,,,True,dhs_direct
CHAKWAL DISTRICT,115.03968493903794,61.98862224860946,159.4840208552189,True,dhs_direct
CHARSADDA DISTRICT,40.89386668285178,1.6763193480389127,96.4344525785657,True,dhs_direct
CHINIOT DISTRICT,111.92109844740304,82.88770053475925,148.43105743975494,True,dhs_direct
CHITRAL DISTRICT,45.20255532907292,0.0,47.61904761904767,True,dhs_direct
DADU DISTRICT,37.8424191280492,0.0,66.66666666666666,True,dhs_direct
DERA BUGTI DISTRICT,0.0,0.0,0.0,True,dhs_direct
DERA GHAZI KHAN DISTRICT,75.65150915899454,44.4444444444444,81.47277712495105,True,dhs_direct
DERA ISMAIL KHAN DISTRICT,98.45635921094365,51.09312700993962,105.90427347541696,False,dhs_direct
FAISALABAD DISTRICT,98.690649402273,50.319467683103845,146.52350331482808,False,dhs_direct
FR BANNU DISTRICT,24.19153477106906,0.0,62.09696680200627,False,dhs_direct
FR TANK DISTRICT,0.0,,,True,dhs_direct
GHOTKI DISTRICT,130.78801902471028,99.50222512053509,179.78308286474697,True,dhs_direct
GUJRANWALA DISTRICT,60.11711316947999,31.19140778885121,97.83401705350592,False,dhs_direct
GUJRAT DISTRICT,29.16715553843685,8.473566217216622,39.11125212295147,False,dhs_direct
GWADAR DISTRICT,0.0,0.0,0.0,True,dhs_direct
HAFIZABAD DISTRICT,88.71522179913771,57.14285714285716,117.83652138586864,True,dhs_direct
HANGU DISTRICT,45.45454545454541,,,True,dhs_direct
HARIPUR DISTRICT,122.70881181379444,0.0,204.5454545454546,True,dhs_direct
HYDERABAD DISTRICT,36.23288733368702,0.0,130.0,True,dhs_direct
ISLAMABAD DISTRICT,46.38755972815844,25.48569567761788,68.94602182753755,False,dhs_direct
JACOBABAD DISTRICT,103.17308375551649,78.94736842105266,142.8571428571428,True,dhs_direct
JAFFARABAD DISTRICT,0.0,0.0,0.0,True,dhs_direct
JAMSHORO DISTRICT,28.53771963602969,0.0,133.33333333333331,True,dhs_direct
JHAL MAGSI DISTRICT,115.38461538461542,,,True,dhs_direct
JHANG DISTRICT,50.0821125336004,0.0,96.42857142857142,True,dhs_direct
JHELUM DISTRICT,0.0,,,True,dhs_direct
KACHHI DISTRICT,0.0,,,True,dhs_direct
KALAT DISTRICT,65.40748781667783,0.0,108.58725487677168,False,dhs_direct
KAMBAR SHAHDAD KOT DISTRICT,78.20521093372878,50.65350852147799,112.64828738512956,True,dhs_direct
KARACHI CENTRAL DISTRICT,13.89864260335183,0.0,27.65802164770819,False,dhs_direct
KARACHI EAST DISTRICT,5.8375542854871565,0.0,38.55455585967693,True,dhs_direct
KARACHI SOUTH DISTRICT,80.73219515472552,43.07901844803394,97.88634954832808,False,dhs_direct
KARACHI WEST DISTRICT,45.01796644300104,6.209411434660142,75.14600814397978,False,dhs_direct
KARAK DISTRICT,121.24849939975992,,,True,dhs_direct
KASHMORE DISTRICT,81.02696193206616,0.0,107.44839824406426,True,dhs_direct
KASUR DISTRICT,79.58906185083481,56.94308007156535,93.69635485183524,True,dhs_direct
KECH DISTRICT,27.256605966362592,0.0,80.53630279678303,True,dhs_direct
KHAIRPUR DISTRICT,106.31891501112167,52.01304683099421,149.64793718104175,False,dhs_direct
KHANEWAL DISTRICT,102.95584594258844,0.0,190.47619047619057,True,dhs_direct
KHARAN DISTRICT,62.39334510815786,55.55555555555558,76.92307692307688,True,dhs_direct
KHUSHAB DISTRICT,0.0,0.0,0.0,True,dhs_direct
KHUZDAR DISTRICT,80.289556375437,38.04619336829158,114.86246319474962,False,dhs_direct
KHYBER AGENCY DISTRICT,18.64571846155927,0.0,28.464897452125086,False,dhs_direct
KILLA ABDULLAH DISTRICT,86.64606605284276,86.64606605284276,87.30158730158722,True,dhs_direct
KILLA SAIFULLAH DISTRICT,3.826439011997973,0.0,52.63157894736836,True,dhs_direct
KOHAT DISTRICT,32.658722505703565,24.39024390243905,73.35802973151485,True,dhs_direct
KOHLU DISTRICT,21.276595744680883,,,True,dhs_direct
KORANGI DISTRICT,12.870103827521294,0.0,46.40242858328281,True,dhs_direct
KURRAM AGENCY DISTRICT,22.972882524168405,0.8832128368717607,47.14529594467368,False,dhs_direct
LAHORE DISTRICT,100.66242215114151,36.49050046437196,165.07098878899427,False,dhs_direct
LAKKI MARWAT DISTRICT,29.656009787543347,0.0,30.76923076923077,True,dhs_direct
LARKANA DISTRICT,47.77424360616389,9.44873975877336,76.82802200968707,True,dhs_direct
LASBELA DISTRICT,91.103324498626,70.11902650710111,120.12297296839048,False,dhs_direct
LAYYAH DISTRICT,98.43513547868842,43.61191828810718,133.33333333333331,True,dhs_direct
LODHRAN DISTRICT,27.77777777777779,,,True,dhs_direct
LORALAI DISTRICT,314.17083610779696,306.3565859366101,314.7121004850143,True,dhs_direct
LOWER DIR DISTRICT,94.49316774319917,87.39430108270064,108.3591331269349,True,dhs_direct
MALAKAND PROTECTED AREA DISTRICT,1.2004921634326535,0.0,30.30303030303028,True,dhs_direct
MALIR DISTRICT,25.532991998517552,8.495205806405753,41.15558752299049,False,dhs_direct
MANSEHRA DISTRICT,3.955458781992216,0.0,58.82352941176472,True,dhs_direct
MARDAN DISTRICT,46.74219401930091,2.474066313770071,110.28457714900443,False,dhs_direct
MASTUNG DISTRICT,171.1180592918321,123.07692307692308,191.3611527451473,True,dhs_direct
MATIARI DISTRICT,50.00000000000004,,,True,dhs_direct
MIANWALI DISTRICT,55.89270928165158,0.0,74.07407407407408,True,dhs_direct
MIRPUR KHAS DISTRICT,75.16792869546529,62.5,83.33333333333337,True,dhs_direct
MOHMAND AGENCY DISTRICT,10.6686175391979,0.0,21.276595744680883,True,dhs_direct
MULTAN DISTRICT,62.02495404418285,32.65346030385491,88.04527767407112,False,dhs_direct
MUZAFFARGARH DISTRICT,112.15752526470446,14.266178020533092,155.02640863646755,True,dhs_direct
NANKANA SAHIB DISTRICT,0.0,,,True,dhs_direct
NAROWAL DISTRICT,46.64947116934204,0.0,76.92307692307698,True,dhs_direct
NASIRABAD DISTRICT,104.06636878449484,32.78688524590167,121.21212121212122,True,dhs_direct
NAUSHAHRO FEROZE DISTRICT,35.2560259514233,0.0,41.31124357466209,True,dhs_direct
NORTH WAZIRISTAN AGENCY DISTRICT,10.846194608446712,0.0,23.35768606389088,False,dhs_direct
NOWSHERA DISTRICT,39.22195405184159,24.450146649759752,54.420612810246574,False,dhs_direct
OKARA DISTRICT,17.7089973228034,0.0,43.47826086956519,True,dhs_direct
ORAKZAI AGENCY DISTRICT,0.0,,,True,dhs_direct
PAKPATTAN DISTRICT,89.3875035368361,83.33333333333337,100.52910052910056,True,dhs_direct
PESHAWAR DISTRICT,61.40736950969827,19.31926434247645,110.54540272585965,False,dhs_direct
PISHIN DISTRICT,124.09003715484944,43.47826086956519,177.55102040816328,True,dhs_direct
QUETTA DISTRICT,145.92140324775093,39.405957997437504,231.3777911223459,False,dhs_direct
RAHIM YAR KHAN DISTRICT,119.51727768711284,64.54500291021853,192.6541371199174,False,dhs_direct
RAJANPUR DISTRICT,89.73207199297828,83.33333333333337,93.02325581395344,True,dhs_direct
RAWALPINDI DISTRICT,40.94708538703173,0.0,74.20226388610492,False,dhs_direct
SAHIWAL DISTRICT,197.5747536450546,54.273948652120765,293.2280939084235,True,dhs_direct
SANGHAR DISTRICT,21.644628944173405,0.0,84.65116279069773,True,dhs_direct
SARGODHA DISTRICT,75.53902199530593,56.521748603419965,89.78717010557757,True,dhs_direct
SHAHEED BENAZIRABAD DISTRICT,115.52087354933671,56.33802816901412,133.31005775224813,True,dhs_direct
SHANGLA DISTRICT,109.89010989010984,,,True,dhs_direct
SHEIKHUPURA DISTRICT,0.0,0.0,0.0,True,dhs_direct
SHERANI DISTRICT,0.0,,,True,dhs_direct
SHIKARPUR DISTRICT,71.4285714285714,,,True,dhs_direct
SIALKOT DISTRICT,22.87007936134533,0.0,51.68821198346807,True,dhs_direct
SIBI DISTRICT,209.7959183673469,,,True,dhs_direct
SOHBATPUR DISTRICT,45.45454545454541,,,True,dhs_direct
SOUTH WAZIRISTAN A DISTRICT,29.893649124911214,0.0,41.23711340206182,True,dhs_direct
SUJAWAL DISTRICT,24.83362696261626,0.0,162.89592760181003,True,dhs_direct
SUKKUR DISTRICT,97.32877579103926,46.89295555583695,112.69841269841274,True,dhs_direct
SWABI DISTRICT,42.04249301093299,7.130583455649431,119.97260770411422,True,dhs_direct
SWAT DISTRICT,36.16881202806288,7.207335574099614,76.91486157678109,False,dhs_direct
TANDO ALLAHYAR DISTRICT,33.72963763862336,0.0,68.96551724137933,True,dhs_direct
TANDO MUHAMMAD KHAN DISTRICT,124.1039426523297,,,True,dhs_direct
TANK DISTRICT,96.08895320197664,0.0,100.63113604488083,True,dhs_direct
THARPARKAR DISTRICT,30.360630466110266,29.41176470588236,32.258064516129004,True,dhs_direct
THATTA DISTRICT,36.78454754031446,0.0,57.91505791505791,True,dhs_direct
TOBA TEK SINGH DISTRICT,114.06338543465644,0.0,222.2222222222222,True,dhs_direct
TORGHAR DISTRICT,121.92192192192186,,,True,dhs_direct
UMER KOT DISTRICT,17.732617136429706,0.0,71.4285714285714,True,dhs_direct
UPPER DIR DISTRICT,52.04200242676915,31.746031746031743,71.4285714285714,True,dhs_direct
VEHARI DISTRICT,136.8272198326449,50.00000000000004,166.51790981269465,True,dhs_direct
WASHUK DISTRICT,63.233431166814015,0.0,76.92307692307688,True,dhs_direct
ZHOB DISTRICT,454.8997122794961,237.857933871223,482.2252374491183,True,dhs_direct
