district_key,province,population_2017,population_under5,deprivation_index,mortality_estimate_per1000,mortality_lower95,mortality_upper95,estimate_type,estimate_source
KURRAM AGENCY DISTRICT,Fata,615372,106814.0,0.7406733784095354,101.84233561688086,66.19751815097257,137.48715308278915,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
MOHMAND AGENCY DISTRICT,Fata,474345,78675.0,0.8268885862421084,108.03594545856252,70.22336454806563,145.8485263690594,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
NORTH WAZIRISTAN AGENCY DISTRICT,Fata,540546,99291.0,0.7305726741072518,100.1706550482767,65.11092578137985,135.23038431517355,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
ORAKZAI AGENCY DISTRICT,Fata,254303,46793.0,0.8193932638061785,107.84340623428636,70.09821405228614,145.58859841628657,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
SOUTH WAZIRISTAN A DISTRICT,Fata,675215,177050.5,0.7735938997491848,115.58408115490742,75.12965275068983,156.03850955912503,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
BAJAUR AGENCY DISTRICT,Fata,1090987,200587.0,0.819450270351782,102.15504685879367,66.40078045821588,137.90931325937146,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
FR BANNU DISTRICT,Fata,43112,7651.0,0.8576816570504074,104.68508628190575,68.04530608323874,141.32486648057278,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
FR D.I.KHAN DISTRICT,Fata,68506,13839.0,0.9139454206873884,107.41710219665003,69.82111642782252,145.01308796547755,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
FR KOHAT DISTRICT,Fata,118839,17454.0,0.5242412189018297,84.01455967047649,54.60946378580972,113.41965555514325,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
FR LAKKI MARWAT DISTRICT,Fata,26394,4803.0,0.8702984813989956,116.91777849972426,75.99655602482078,157.83900097462777,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
FR PESHAWAR DISTRICT,Fata,64761,9357.0,0.5803162809509814,83.81743715908785,54.481334153407104,113.15354016476859,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
FR TANK DISTRICT,Fata,36418,6363.0,0.8737885583617445,103.82435940771069,67.48583361501196,140.16288520040942,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
ATTOCK DISTRICT,Punjab,1886378,222025.0,0.583270767208278,79.23693893631079,51.50401030860202,106.96986756401957,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
CHAKWAL DISTRICT,Punjab,1495463,165863.0,0.3820448905083366,72.16324264072416,46.90610771647071,97.42037756497763,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
JHELUM DISTRICT,Punjab,1222403,133895.0,0.1793779784828931,55.56665252553691,36.11832414159899,75.01498090947483,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
RAWALPINDI DISTRICT,Punjab,5402380,618602.0,0.2522666138948593,60.40150719584595,39.26097967729987,81.54203471439203,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
BHAKKAR DISTRICT,Punjab,1647852,223910.0,0.5188128852260859,74.83902522496176,48.64536639622514,101.03268405369838,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KHUSHAB DISTRICT,Punjab,1280372,151203.0,0.4453243276060573,74.69666083367613,48.55282954188949,100.84049212546279,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
SARGODHA DISTRICT,Punjab,3696212,457522.0,0.3751937555767422,67.95032871648763,44.16771366571696,91.7329437672583,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
MIANWALI DISTRICT,Punjab,1542601,196785.0,0.5314159600961427,81.92283505623699,53.24984278655405,110.59582732591994,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
GUJRANWALA DISTRICT,Punjab,5011066,619496.0,0.2732476257444631,64.41715986863464,41.87115391461252,86.96316582265676,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
GUJRAT DISTRICT,Punjab,2756289,323895.0,0.2805060983370112,60.62886408062137,39.408761652403896,81.84896650883884,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
HAFIZABAD DISTRICT,Punjab,1156954,148005.0,0.4250830944879502,76.01407125067223,49.409146312936954,102.61899618840751,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
MANDI BAHAUDDIN DISTRICT,Punjab,1594039,196009.0,0.2634832973116825,58.12101393432506,37.77865905731129,78.46336881133884,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
NAROWAL DISTRICT,Punjab,1707575,231024.0,0.4482787248124875,75.3350995104609,48.967814681799595,101.70238433912222,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
SIALKOT DISTRICT,Punjab,3894938,481850.0,0.3392180423993149,68.39168952995142,44.454598194468424,92.32878086543442,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
LAHORE DISTRICT,Punjab,11119985,1304204.0,0.1668105826192401,39.535635937924454,25.698163359650895,53.373108516198016,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KASUR DISTRICT,Punjab,3454881,465054.0,0.4522802761702907,71.53545519355265,46.498045875809225,96.57286451129607,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
NANKANA SAHIB DISTRICT,Punjab,1354986,173077.0,0.5640579715636144,80.01178952402378,52.00766319061546,108.0159158574321,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
SHEIKHUPURA DISTRICT,Punjab,3460004,435178.0,0.2973815296695528,56.198456644164835,36.52899681870714,75.86791646962253,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
FAISALABAD DISTRICT,Punjab,7882444,970053.0,0.3172473402574186,60.36045260384671,39.234294192500364,81.48661101519306,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
CHINIOT DISTRICT,Punjab,1368659,188252.0,0.5142146119817771,89.13923892515251,57.940505301349134,120.33797254895589,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
JHANG DISTRICT,Punjab,2742633,389915.0,0.3204490325871996,56.61591217350549,36.800342912778575,76.43148143423241,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
TOBA TEK SINGH DISTRICT,Punjab,2191495,278080.0,0.3048836367204902,67.76479792277132,44.04711864980136,91.48247719574128,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
SAHIWAL DISTRICT,Punjab,2513011,315224.0,0.5242186352043511,68.38046553568995,44.44730259819847,92.31362847318144,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
