district_key,province,area_sqkm,census_population_2017
SIALKOT DISTRICT,Punjab,3016,3894938
SIBI DISTRICT,Balochistan,7121,179751
SOHBATPUR DISTRICT,Balochistan,802,200426
SOUTH WAZIRISTAN A DISTRICT,Fata,6620,675215
SUJAWAL DISTRICT,Sindh,8785,779062
SUKKUR DISTRICT,Sindh,5165,1488372
SWABI DISTRICT,Khyber Pakhtunkhwa,1543,1625477
SWAT DISTRICT,Khyber Pakhtunkhwa,5337,2308624
TANDO ALLAHYAR DISTRICT,Sindh,1554,838527
TANDO MUHAMMAD KHAN DISTRICT,Sindh,1423,677098
TANK DISTRICT,Khyber Pakhtunkhwa,1679,390626
THARPARKAR DISTRICT,Sindh,19637,1647036
THATTA DISTRICT,Sindh,8570,982138
TOBA TEK SINGH DISTRICT,Punjab,3252,2191495
TORGHAR DISTRICT,Khyber Pakhtunkhwa,454,171349
UMER KOT DISTRICT,Sindh,5608,1073469
UPPER DIR DISTRICT,Khyber Pakhtunkhwa,3699,947401
VEHARI DISTRICT,Punjab,4364,2902081
WASHUK DISTRICT,Balochistan,33093,175712
ZHOB DISTRICT,Balochistan,15987,310354
ZIARAT DISTRICT,Balochistan,3301,160095
