held_out_province,n_districts,mae,rmse,bias
Khyber Pakhtunkhwa,23,5.484433004844176,6.487286528926427,-1.5664124683021547
Fata,12,5.984535904519105,7.277592456867574,0.22165748757802936
Punjab,36,6.204245749730502,7.485551294195264,1.6702904141134047
Sindh,29,6.047378430882514,7.21724950353735,-2.364354122050972
Balochistan,31,8.784932580791132,13.787515624688849,6.450163912732984
