district_key,u5mr_direct,u5mr_posterior_mean,u5mr_ci_lower95,u5mr_ci_upper95,direct_within_model_ci
BAHAWALPUR DISTRICT,126.94901440842844,107.32708093724266,70.39409947845657,151.79947431141812,True
BAJAUR AGENCY DISTRICT,32.56827294144016,18.42387329788722,2.3757287617967857,53.2884656436036,True
DERA ISMAIL KHAN DISTRICT,98.45635921094365,87.69888215484943,47.44685639996364,140.4390465030445,True
FAISALABAD DISTRICT,98.690649402273,71.6224283741143,45.35862616751955,103.60791887528312,True
FR BANNU DISTRICT,24.19153477106906,28.433619912510554,2.050280354367389,112.32135303692164,True
GUJRANWALA DISTRICT,60.11711316947999,53.04987234426206,30.82411387779128,81.57222847651936,True
GUJRAT DISTRICT,29.16715553843685,29.72690389900237,14.285758131348102,50.9337999132192,True
ISLAMABAD DISTRICT,46.38755972815844,26.81250663793633,5.132811411537236,67.18387459819971,True
KALAT DISTRICT,65.40748781667783,51.20194893538632,11.221586407005937,132.73055588758072,True
KARACHI CENTRAL DISTRICT,13.89864260335183,22.045052476651183,6.110789209999931,51.233539037685375,True
KARACHI SOUTH DISTRICT,80.73219515472552,67.12446723079623,32.17410572379872,116.63065803373644,True
KARACHI WEST DISTRICT,45.01796644300104,38.62033664659272,17.090679402311515,68.97700401888194,True
KHAIRPUR DISTRICT,106.31891501112167,82.65646709308778,44.49490885007384,131.95000037396952,True
KHUZDAR DISTRICT,80.289556375437,43.58150470926948,12.98198893000427,98.2231910065729,True
KHYBER AGENCY DISTRICT,18.64571846155927,16.483111147796834,1.767572253878258,52.908501229042535,True
KURRAM AGENCY DISTRICT,22.972882524168405,16.721244400329514,1.481229062109679,58.63231649111723,True
LAHORE DISTRICT,100.66242215114151,75.18965166699336,50.669257701592265,104.72430505250732,True
LASBELA DISTRICT,91.103324498626,41.92446067252753,11.377623760983212,96.88950893209002,True
MALIR DISTRICT,25.532991998517552,30.16592313640856,10.38943648711014,62.09036584063064,True
MARDAN DISTRICT,46.74219401930091,41.99652283299024,15.203591571793892,83.85278053376447,True
MULTAN DISTRICT,62.02495404418285,58.132281243178255,30.590061551296923,93.57960764257204,True
NORTH WAZIRISTAN AGENCY DISTRICT,10.846194608446712,17.042593198321153,1.742743269391092,53.19497277134751,True
NOWSHERA DISTRICT,39.22195405184159,35.132876389794355,14.398045396732655,66.15631808843081,True
PESHAWAR DISTRICT,61.40736950969827,53.3263837690992,26.52342016391529,91.4514162863828,True
QUETTA DISTRICT,145.92140324775093,43.943007254281525,15.373626277677996,89.20512380078054,False
RAHIM YAR KHAN DISTRICT,119.51727768711284,113.47696629199469,80.39464273781755,153.31483478584647,True
RAWALPINDI DISTRICT,40.94708538703173,39.93625904091192,19.72656156910616,68.36435738439091,True
SWAT DISTRICT,36.16881202806288,29.00998840782961,7.476383690226151,69.82728605114492,True
